rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
17,사랑의 하츄핑-고래보석의 전설,98%,84.1만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001045/30001045_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
18,마루 밑 아리에티,99%,109.5만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001359/30001359_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
19,위커 맨-파이널 컷,95%,1.6만,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001395/30001395_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
20,캐리어를 끄는 소녀,96%,"2,685",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001392/30001392_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
21,명탐정 코난-하이웨이의 타천사,92%,41.2만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001326/30001326_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
22,드라큘라-러브 테일,90%,1.4만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001311/30001311_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
23,WANNA ONE GO in LA,99%,0,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001416/30001416_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
24,오크 스트리트의 마지막 날,87%,12.2만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001389/30001389_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
25,극장판 귀멸의 칼날-무한성편,96%,582.6만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89833/89833_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
26,터치드 콘서트 [하이라이트 포] - 더 무비,99%,"4,762",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001382/30001382_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
27,산산조각,90%,"3,083",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001401/30001401_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
28,파묘,95%,"1,191.4만",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000088/88012/88012_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
29,신극장판 은혼-요시와라 대염상,,,재개봉,2026-09-09,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001088/30001088_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
30,파뿌리 24- 좀비 아일랜드,99%,"1,787",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001302/30001302_320.png,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
31,어떻게 해야 했을까,97%,9.5만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001329/30001329_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
32,사진의 얼굴,97%,"1,903",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001379/30001379_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
33,리틀 드래곤-몬스터섬의 비밀,,,개봉예정,2026-09-09,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001344/30001344_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
34,인시디어스-그들이 넘어왔다,90%,15.5만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001222/30001222_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
35,퍼피 구조대-더 다이노 무비,98%,10.7만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001288/30001288_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
36,스파이의 아내,92%,1.2만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000084/84435/84435_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
37,애정만세,86%,1.2만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001354/30001354_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
38,곤지암,79%,268.9만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000080/80557/80557_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
39,2026 LCK 플레이오프 패자조 3R T1 vs TBD,,,개봉예정,2026-09-06,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001460/30001460_320.png,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
40,델마,91%,"8,903",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000080/80923/80923_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
41,살목지,88%,324만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001042/30001042_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
42,오케이 마담2,77%,33.9만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001325/30001325_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
43,파라노만,94%,1.8만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76813/76813_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
44,2026 KBO 리그 - 삼성 라이온즈 vs LG 트윈스,,,개봉예정,2026-09-06,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001456/30001456_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
45,말하지 않은 것들,98%,496,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001441/30001441_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
46,스탑 메이킹 센스,96%,3.8만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89870/89870_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
47,2026 KBO 리그 - 두산 베어스 vs SSG 랜더스,,,개봉예정,2026-09-06,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001457/30001457_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
48,2026 LCK 플레이오프 3R 젠지 vs 한화생명e스포츠,,,개봉예정,2026-09-05,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001459/30001459_320.png,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
49,고양이를 놓아줘,79%,"3,038",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001393/30001393_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
50,귀향-언니야 이제 집에 가자,96%,"3,705",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001368/30001368_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
51,담요를 입은 사람,,,재개봉,2026-09-09,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89029/89029_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
52,도그 스타-마지막 희망,92%,1.5만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001352/30001352_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
53,마티 슈프림,91%,13.4만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001227/30001227_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
54,몽상가들,93%,4.9만,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000077/77427/77427_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
55,무진연가,,218,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001365/30001365_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
56,스파이에어 저스트 라이크 디스 2025,99%,"1,331",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001421/30001421_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
57,제22회 서울인디애니페스트2026 독립보행1,,,개봉예정,2026-09-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001487/30001487_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
58,제22회 서울인디애니페스트2026 미리내로3-직장인 체육대회,,,개봉예정,2026-09-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001499/30001499_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
59,제22회 서울인디애니페스트2026 새벽비행1,,,개봉예정,2026-09-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001490/30001490_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
60,콘크리트 녹색섬,98%,"3,217",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001362/30001362_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
61,트루먼의 사랑,64%,"1,254",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001361/30001361_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
62,파파조라 더 무비,99%,332,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001364/30001364_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
63,환희의 얼굴,,,개봉예정,2026-09-09,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001398/30001398_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
64,(라이브뷰잉) 프로젝트 세카이 6주년 감사제,,,개봉예정,2026-10-03,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001469/30001469_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
65,2026 LCK 결승전 TBD vs TBD,,,개봉예정,2026-09-13,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001462/30001462_320.png,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
66,2026 LCK 플레이오프 패자조 4R TBD vs TBD,,,개봉예정,2026-09-12,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001461/30001461_320.png,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
67,"97 혜자, 표류기",,,개봉예정,2026-09-09,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001419/30001419_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
68,가능주의자,97%,"1,278",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001272/30001272_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
69,그림자 아이,77%,"6,467",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001257/30001257_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
70,네 얼굴로는 울 수 없어,,,개봉예정,2026-09-09,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001366/30001366_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
71,다윗,94%,31.2만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001090/30001090_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
72,드로스테 저편의 우리들,96%,"1,366",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001363/30001363_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
73,리틀 드리머즈,95%,"3,008",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001343/30001343_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
74,미명,82%,"1,568",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001283/30001283_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
75,빈집의 연인들,87%,"1,988",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001351/30001351_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
76,사탄탱고,,,개봉예정,2026-09-16,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001510/30001510_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
77,산양들,93%,"6,551",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001313/30001313_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
78,스틸레이,,,개봉예정,2026-10-14,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001471/30001471_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
79,신사-악귀의 속삭임,61%,4.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001221/30001221_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
80,아가미,,,개봉예정,2026-09-09,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001417/30001417_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
81,연옥-살인마들의 자치구역,,,개봉예정,2026-09-09,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001371/30001371_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
82,"올공, 2030 나라를 살리다",,,개봉예정,2026-09-09,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001508/30001508_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
83,정뱅이,,"2,983",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001207/30001207_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
84,제22회 서울인디애니페스트2026 ITFS 베스트 네이처 애니메이션,,,개봉예정,2026-09-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001504/30001504_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
85,제22회 서울인디애니페스트2026 개막섹션 두루두루-한국애니메이션쇼케이스,,,개봉예정,2026-09-17,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001486/30001486_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
86,제22회 서울인디애니페스트2026 김보솔의 밀실과 광장,,,개봉예정,2026-09-20,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001502/30001502_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
87,제22회 서울인디애니페스트2026 독립보행2,,,개봉예정,2026-09-20,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001488/30001488_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
88,제22회 서울인디애니페스트2026 독립보행3,,,개봉예정,2026-09-20,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001489/30001489_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
89,제22회 서울인디애니페스트2026 랜선비행,,,개봉예정,2026-09-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001492/30001492_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
90,제22회 서울인디애니페스트2026 미리내로1-작은 곤충들의 큰 모험,,,개봉예정,2026-09-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001497/30001497_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
91,제22회 서울인디애니페스트2026 미리내로2-자자 자투나,,,개봉예정,2026-09-19,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001498/30001498_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
92,제22회 서울인디애니페스트2026 새벽비행2,,,개봉예정,2026-09-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001491/30001491_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
93,제22회 서울인디애니페스트2026 아시아 파노라마-돌연변이와 산다,,,개봉예정,2026-09-19,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001501/30001501_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
94,제22회 서울인디애니페스트2026 아시아로1,,,개봉예정,2026-09-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001493/30001493_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
95,제22회 서울인디애니페스트2026 아시아로2,,,개봉예정,2026-09-20,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001494/30001494_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
96,제22회 서울인디애니페스트2026 아시아로3,,,개봉예정,2026-09-20,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001495/30001495_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
97,제22회 서울인디애니페스트2026 아시아로4,,,개봉예정,2026-09-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001496/30001496_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
98,제22회 서울인디애니페스트2026 추모 특별 상영-창백한 얼굴들,,,개봉예정,2026-09-18,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001507/30001507_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
